"Referência principal";Referência;"Código de barras";Peso;"Preço principal";"Preço promocional";"Começa em";"Termina em";Stock;Variação{{>}}opção;Imagem;Imagem
TECHQUBEX;;;0.000;425;0;0000-00-00;0000-00-00;0.000;"Modelo{{>}}PCLQUBE6 - PCL QUBE 6 - 12V";;
XIES3/112;;;0.000;73;0;0000-00-00;0000-00-00;0.000;"Medidas{{>}} 30mm 3/112 c.57 c/pern.org.";;
XIES3/112;;;0.000;62.06;0;0000-00-00;0000-00-00;0.000;"Medidas{{>}}16mm c.57.1 m12x1.5 c/pernos";;
TYREBOX126;;;0.000;22000;0;0000-00-00;0000-00-00;0.000;"{{>}}TYREBOX 126";;
TYREBOX126;;;0.000;22700;0;0000-00-00;0000-00-00;0.000;"{{>}}com legalização";;
Checkpoint;CPY29;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}29;;
Checkpoint;CPY28;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}28;;
Checkpoint;CPY27;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}27;;
Checkpoint;CPY26;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}26;;
Checkpoint;CPY25;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}25;;
Checkpoint;CPY24;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}24;;
Checkpoint;CPY23;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}23;;
Checkpoint;CPY22;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}22;;
Checkpoint;CPY21;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}21;;
Checkpoint;CPY20;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}20;;
Checkpoint;CPY19;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}19;;
Checkpoint;CPY18;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}18;;
Checkpoint;CPY17;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}17;;
Checkpoint;CPY31;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}31;;
Checkpoint;CPY30;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}30;;
Checkpoint;CPY32;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}32;;
Checkpoint;CPY33;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}33;;
Checkpoint;CPY34;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}34;;
Checkpoint;CPY35;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}35;;
Checkpoint;CPY36;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}36;;
Checkpoint;CPY38;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}38;;
Checkpoint;CPY40;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}40;;
Checkpoint;CPY41;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}41;;
Checkpoint;CPY44;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}44;;
Checkpoint;CPY46;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}46;;
Checkpoint;CPY50;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}50;;
Dustitelr;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}33;;
Dustitelr;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}32;;
Dustitelr;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}30;;
Dustitelr;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}27;;
Dustitelr;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}24;;
Dustitelr;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}22;;
Dustitelr;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}21;;
Dustitelr;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}20;;
Dustitelr;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}19;;
Dustitelr;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}17;;
Dustite;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}41;;
Dustite;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}38;;
Dustite;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}33;;
Dustite;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}32;;
Dustite;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}30;;
Dustite;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}28;;
Dustite;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}27;;
Dustite;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}24;;
Checklink;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}38;;
Checklink;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}33;;
Checklink;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}32;;
Checklink;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}30;;
Checklink;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}28;;
Checklink;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}27;;
Checklink;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}24;;
Checklink;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}22;;
Checklink;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}21;;
Checklink;;;0.000;0;0;0000-00-00;0000-00-00;0.000;Tamanho{{>}}19;;
SL3080038E;;;0.000;0;0;0000-00-00;0000-00-00;0.000;"Variação{{>}}SL3080038E - Bolsa Preta com Fecho e Pega";https://cdn.weasy.io/users/novo-alta/catalog/50050_smartrepair_bag_back_3l.jpg;
JTALSINCP;;;0.000;69;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALSINCP;;;0.000;75;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALSINCP;;;0.000;75;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALSINCP;;;0.000;89;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALSINCP;;;0.000;106;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALSINPD;;;0.000;82;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALSINPD;;;0.000;90;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALSINPD;;;0.000;90;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALSINPD;;;0.000;106;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALSINPD;;;0.000;127;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALPE;;;0.000;146;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALPE;;;0.000;177;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALPE;;;0.000;213;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALRAPRP;;;0.000;138;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALRAPRP;;;0.000;140;0;0000-00-00;0000-00-00;0.000;{{>}};;
JTALRAPRP;;;0.000;180;0;0000-00-00;0000-00-00;0.000;{{>}};;
